hycg,#genre#
音乐石榴,https://live.ottiptv.cc/huya/17091681
秋月剪水,http://live.nctv.top/douyu1.php?id=9588891
喵喵音乐台,http://live.nctv.top/douyu1.php?id=9568091
阿七点歌台,http://live.nctv.top/douyu1.php?id=3186217
音乐喵,http://live.nctv.top/douyu1.php?id=3870925
下饭音乐,http://live.nctv.top/douyu1.php?id=8661966
音乐台长,http://live.nctv.top/douyu1.php?id=9629943
音乐WU歌,http://live.nctv.top/douyu1.php?id=8667755
音乐快斗,http://live.nctv.top/douyu1.php?id=8324627
音乐猛抬头,http://live.nctv.top/douyu1.php?id=8666105
黑糖音乐秀,http://live.nctv.top/douyu1.php?id=9560563
最久音乐,http://live.nctv.top/douyu1.php?id=10469362
荒草音乐,http://live.nctv.top/douyu1.php?id=8706465
蚕豆电台,http://live.nctv.top/douyu1.php?id=8768792
多彩文体4K,http://tiger81.i234.me:8888/rtp/239.112.205.236:5140
苏州卫视4K,https://live-auth.51kandianshi.com/szgd/csztv4k_hd.m3u8
广州南国都市4K,http://tencentplaygsm.gztv.com/live/nanguodushi.m3u8
东方卫视4K,http://bp-resource-dfl.bestv.cn/148/3/video.m3u8
CCTV16,http://thhomes.cn:4000/rtp/239.3.1.184:8001$北京联通
CCTV4K,http://38.75.136.137:98/gslb/dsdqpub/cctv4k.m3u8?auth=testpub
CCTV8K,http://38.75.136.137:98/gslb/dsdqpub/cctv8k.m3u8?auth=testpub
CETV1,http://m.061899.xyz/mg/cetv1
CETV2,http://m.061899.xyz/mg/cetv2
CETV4,http://m.061899.xyz/mg/cetv4
中文国际欧洲,http://demo1.ruisilink.top:9000/rtp/239.76.253.95:9000
中文国际美洲,http://demo1.ruisilink.top:9000/rtp/239.76.253.96:9000
第一剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dyjc
电视指南,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=dszn
风云剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyjc
风云音乐,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fyyy
风云足球,http://38.75.136.137:98/gslb/dsdqpub/fyzq.m3u8?auth=testpub
怀旧剧场,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=hjjc
世界地理,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=sjdl
卫生健康,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=wsjk
高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
女性时尚,http://38.75.136.137:98/gslb/dsdqpub/nxss.m3u8?auth=testpub
老故事,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lgs
发现之旅,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=fxzl
CHC家庭影院,http://38.75.136.137:98/gslb/dsdqpub/chcjt.m3u8?auth=testpub
CHC动作电影,http://38.75.136.137:98/gslb/dsdqpub/chcdz.m3u8?auth=testpub
CHC影迷电影,http://38.75.136.137:98/gslb/dsdqpub/chchd.m3u8?auth=testpub
CCTV1,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
CCTV2,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8
CCTV3,http://222.214.208.34:59901/tsfile/live/0003_1.m3u8
CCTV4,http://222.214.208.34:59901/tsfile/live/0004_1.m3u8
CCTV5,http://222.214.208.34:59901/tsfile/live/0005_1.m3u8
CCTV6,http://222.214.208.34:59901/tsfile/live/0006_1.m3u8
CCTV7,http://222.214.208.34:59901/tsfile/live/0007_1.m3u8
CCTV8,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8
CCTV9,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8
CCTV10,http://222.214.208.34:59901/tsfile/live/0010_1.m3u8
CCTV11,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8
CCTV12,http://222.214.208.34:59901/tsfile/live/0012_1.m3u8
CCTV13,http://222.214.208.34:59901/tsfile/live/0013_1.m3u8
CCTV14,http://222.214.208.34:59901/tsfile/live/0014_1.m3u8
CCTV15,http://222.214.208.34:59901/tsfile/live/0015_1.m3u8
CCTV5+,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8
山东教育卫视,https://test1.live.sdetv.com.cn/live/dianshizhibo/playlist.m3u8
厦门卫视,http://110.80.17.38:9999/tsfile/live/0128_1.m3u8
兵团卫视,https://live-pc.xuexi.cn/merged/bttv_merge_cqhd.m3u8?auth_key=1769092133-0-17690933342055524-46274080b3b7a6c8a24862a0db3014a0&yid=17690933342055524
延边卫视,https://srs.iyb983.cn/video/CYS/index.m3u8
CCTV1,http://thhomes.cn:4000/rtp/239.3.1.129:8008$北京联通
CCTV1,http://www.yzddy.top:8800/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://kodbox.guangyuan.site:8188/rtp/239.77.0.86:5146$广东电信
CCTV1,http://zczb.aylzline.top:8899/rtp/225.1.2.47:10276$河南联通
CCTV1,http://168250.xyz:1111/rtp/239.5.1.4:5000$天津电信
CCTV1,http://pr.19760929.xyz:9688/rtp/239.77.0.86:5146$广东电信
CCTV1,http://ipv4.hs.imyjy.cn:7088/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://phmanet.com:9999/rtp/239.76.253.151:9000$湖南电信
CCTV1,http://www.sclvip.top:8787/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://eversouthhangzhou.7766.org:8188/rtp/233.50.201.118:5140$浙江联通
CCTV1,http://www.lvyjay.win:4022/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.129:8008$北京联通
CCTV1,http://pve.iszbd.com:4022/rtp/225.0.4.74:7980$重庆联通
CCTV1,http://zqh2333.top:2222/rtp/239.94.0.1:5140$四川电信
CCTV1,http://home.scanflove.com:7788/rtp/235.254.198.51:1480$重庆电信
CCTV1,http://r.xace.fun:4999/rtp/239.3.1.129:8008$北京联通
CCTV1,http://www.hiliu.myds.me:18088/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://www.andy-nas.top:8623/rtp/239.76.253.151:9000$湖南电信
CCTV1,http://hiliu.myds.me:18088/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://www.marcvision.xyz:8000/rtp/238.1.78.166:7200$安徽电信
CCTV1,http://b.xiongnas.top:8888/rtp/239.3.1.129:8008$北京联通
CCTV1,http://www.maomizi.cn:9530/rtp/239.77.0.86:5146$广东电信
CCTV1,http://zb.hexuntong.net:8188/rtp/239.3.1.129:8008$北京联通
CCTV1,http://esxi.juzhijian.com:8822/rtp/239.16.20.1:10010$河南电信
CCTV1,http://www.maomizi.cn:9527/rtp/239.77.0.86:5146$广东电信
CCTV1,http://www.lizhinas.top:10086/rtp/239.252.219.200:5140$江西电信
CCTV1,http://audios.guangyuan.site:8188/rtp/239.77.0.86:5146$广东电信
CCTV1,http://jxyxnk.x3322.net:4022/rtp/239.252.219.200:5140$江西电信
CCTV1,http://hook.msen.site:8000/rtp/235.254.198.51:1480$重庆电信
CCTV1,http://nas.yzzdxc.cn:16666/rtp/239.37.0.254:5540$吉林电信
CCTV1,http://hs.hejd.net:7088/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://www.liyajun.top:7088/rtp/239.253.92.83:8012$河北联通
CCTV1,http://woc.iiiya.cn:18888/rtp/239.61.3.61:9884$福建电信
CCTV1,http://home.amucn.net:8800/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://iptv.xxika.net:8188/rtp/239.77.0.86:5146$广东电信
CCTV1,http://z.d4p.cn:8000/rtp/239.49.8.19:9614$江苏电信
CCTV1,http://server.juzhijian.com:8822/rtp/239.16.20.1:10010$河南电信
CCTV1,http://xu3791vg3503.vicp.fun:8808/rtp/239.254.96.96:8550$湖北电信
CCTV1,http://a.xiongnas.top:8888/rtp/239.3.1.129:8008$北京联通
CCTV1,http://kms.yzzdxc.cn:16666/rtp/239.37.0.254:5540$吉林电信
CCTV1,http://joyznm.i234.me:20000/rtp/239.3.1.129:8008$北京联通
CCTV1,http://101.wifi98.com:9001/rtp/232.0.0.27:1234$辽宁联通
CCTV1,http://alist.guangyuan.site:8188/rtp/239.77.0.86:5146$广东电信
CCTV1,http://www.liangcl.top:8686/rtp/233.50.201.118:5140$浙江电信
CCTV1,http://www.sjwyp.com:4022/rtp/239.254.200.45:8008$河北电信
CCTV1,http://share.xlangnan.cn:10316/rtp/239.254.200.45:8008$河北电信
CCTV1,http://www.zlizi.cn:4023/rtp/239.76.253.151:9000$湖南电信
CCTV1,http://www.rongrong.me:14022/rtp/233.18.204.52:5140$上海电信
CCTV2,http://thhomes.cn:4000/rtp/239.3.1.60:8084$北京联通
CCTV2,http://www.yzddy.top:8800/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://kodbox.guangyuan.site:8188/rtp/239.77.0.137:5146$广东电信
CCTV2,http://zczb.aylzline.top:8899/rtp/225.1.2.78:10462$河南联通
CCTV2,http://168250.xyz:1111/rtp/239.5.1.5:5000$天津电信
CCTV2,http://pr.19760929.xyz:9688/rtp/239.77.0.137:5146$广东电信
CCTV2,http://ipv4.hs.imyjy.cn:7088/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://phmanet.com:9999/rtp/239.76.253.152:9000$湖南电信
CCTV2,http://phmanet.com:9999/rtp/239.76.246.152:1234$湖南电信
CCTV2,http://www.sclvip.top:8787/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://eversouthhangzhou.7766.org:8188/rtp/233.50.201.119:5140$浙江联通
CCTV2,http://www.lvyjay.win:4022/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.60:8084$北京联通
CCTV2,http://pve.iszbd.com:4022/rtp/225.0.4.132:7980$重庆联通
CCTV2,http://zqh2333.top:2222/rtp/239.94.0.2:5140$四川电信
CCTV2,http://home.scanflove.com:7788/rtp/235.254.198.52:1484$重庆电信
CCTV2,http://r.xace.fun:4999/rtp/239.3.1.60:8084$北京联通
CCTV2,http://www.hiliu.myds.me:18088/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://www.andy-nas.top:8623/rtp/239.76.253.152:9000$湖南电信
CCTV2,http://www.andy-nas.top:8623/rtp/239.76.246.152:1234$湖南电信
CCTV2,http://hiliu.myds.me:18088/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://www.marcvision.xyz:8000/rtp/238.1.78.235:7752$安徽电信
CCTV2,http://b.xiongnas.top:8888/rtp/239.3.1.60:8084$北京联通
CCTV2,http://www.maomizi.cn:9530/rtp/239.77.0.137:5146$广东电信
CCTV2,http://zb.hexuntong.net:8188/rtp/239.3.1.60:8084$北京联通
CCTV2,http://esxi.juzhijian.com:8822/rtp/239.16.20.2:10020$河南电信
CCTV2,http://www.maomizi.cn:9527/rtp/239.77.0.137:5146$广东电信
CCTV2,http://www.lizhinas.top:10086/rtp/239.252.220.183:5140$江西电信
CCTV2,http://audios.guangyuan.site:8188/rtp/239.77.0.137:5146$广东电信
CCTV2,http://jxyxnk.x3322.net:4022/rtp/239.252.220.183:5140$江西电信
CCTV2,http://hook.msen.site:8000/rtp/235.254.198.52:1484$重庆电信
CCTV2,http://nas.yzzdxc.cn:16666/rtp/239.37.0.003:5540$吉林电信
CCTV2,http://hs.hejd.net:7088/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://www.liyajun.top:7088/rtp/239.253.92.190:6065$河北联通
CCTV2,http://woc.iiiya.cn:18888/rtp/239.61.2.174:9032$福建电信
CCTV2,http://home.amucn.net:8800/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://iptv.xxika.net:8188/rtp/239.77.0.137:5146$广东电信
CCTV2,http://z.d4p.cn:8000/rtp/239.49.8.50:9802$江苏电信
CCTV2,http://server.juzhijian.com:8822/rtp/239.16.20.2:10020$河南电信
CCTV2,http://xu3791vg3503.vicp.fun:8808/rtp/239.69.1.102:10250$湖北电信
CCTV2,http://a.xiongnas.top:8888/rtp/239.3.1.60:8084$北京联通
CCTV2,http://kms.yzzdxc.cn:16666/rtp/239.37.0.003:5540$吉林电信
CCTV2,http://joyznm.i234.me:20000/rtp/239.3.1.60:8084$北京联通
CCTV2,http://101.wifi98.com:9001/rtp/232.0.0.135:1234$辽宁联通
CCTV2,http://alist.guangyuan.site:8188/rtp/239.77.0.137:5146$广东电信
CCTV2,http://www.liangcl.top:8686/rtp/233.50.201.119:5140$浙江电信
CCTV2,http://www.sjwyp.com:4022/rtp/239.254.200.158:6000$河北电信
CCTV3,http://thhomes.cn:4000/rtp/239.3.1.172:8001$北京联通
CCTV3,http://www.yzddy.top:8800/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://kodbox.guangyuan.site:8188/rtp/239.77.0.169:5146$广东电信
CCTV3,http://zczb.aylzline.top:8899/rtp/225.1.2.141:10864$河南联通
CCTV3,http://168250.xyz:1111/rtp/239.5.1.101:5000$天津电信
CCTV3,http://pr.19760929.xyz:9688/rtp/239.77.0.169:5146$广东电信
CCTV3,http://ipv4.hs.imyjy.cn:7088/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://phmanet.com:9999/rtp/239.76.253.153:9000$湖南电信
CCTV3,http://phmanet.com:9999/rtp/239.76.246.153:1234$湖南电信
CCTV3,http://www.sclvip.top:8787/rtp/239.49.8.74:8000$江苏电信
CCTV3,http://eversouthhangzhou.7766.org:8188/rtp/233.50.201.196:5140$浙江联通
CCTV3,http://www.lvyjay.win:4022/rtp/233.50.201.196:5140$浙江电信
CCTV3,http://naslmd2.myqnapcloud.com:4022/rtp/239.3.1.172:8001$北京联通
CCTV3,http://pve.iszbd.com:4022/rtp/225.0.4.142:7980$重庆联通
CCTV3,http://zqh2333.top:2222/rtp/239.94.0.3:5140$四川电信
CCTV3,http://home.scanflove.com:7788/rtp/235.254.198.53:1488$重庆电信
CCTV3,http://r.xace.fun:4999/rtp/239.3.1.172:8001$北京联通
