咪咕央卫,#genre#
CCTV1,http://14.153.176.89:1234/608807420
CCTV2,http://14.153.176.89:1234/631780532
CCTV3,http://14.153.176.89:1234/624878271
CCTV4,http://14.153.176.89:1234/631780421
CCTV5,http://14.153.176.89:1234/641886683
CCTV5+,http://14.153.176.89:1234/641886773
CCTV6,http://14.153.176.89:1234/624878396
CCTV7,http://14.153.176.89:1234/673168121
CCTV8,http://14.153.176.89:1234/624878356
CCTV9,http://14.153.176.89:1234/673168140
CCTV10,http://14.153.176.89:1234/624878405
CCTV11,http://14.153.176.89:1234/667987558
CCTV12,http://14.153.176.89:1234/673168185
CCTV13,http://14.153.176.89:1234/608807423
CCTV14,http://14.153.176.89:1234/624878440
CCTV15,http://14.153.176.89:1234/673168223
CCTV17,http://14.153.176.89:1234/673168256
CCTV4欧洲,http://14.153.176.89:1234/608807419
CCTV4美洲,http://14.153.176.89:1234/608807416
赛事最经典,http://14.153.176.89:1234/646596895
体坛名栏汇,http://14.153.176.89:1234/629943305
四海钓鱼,http://14.153.176.89:1234/637444975
大湾区卫视,http://14.153.176.89:1234/608917627
陕西体育,http://14.153.176.89:1234/956909356
辽宁体育,http://14.153.176.89:1234/962067526
东方卫视,http://14.153.176.89:1234/651632648
江苏卫视,http://14.153.176.89:1234/623899368
广东卫视,http://14.153.176.89:1234/608831231
北京卫视,http://14.153.176.89:1234/630287636
辽宁卫视,http://14.153.176.89:1234/630291707
河北卫视,http://14.153.176.89:1234/962042070
江西卫视,http://14.153.176.89:1234/783847495
陕西卫视,http://14.153.176.89:1234/738910838
湖北卫视,http://14.153.176.89:1234/947472496
农林卫视,http://14.153.176.89:1234/956904896
兵团卫视,http://14.153.176.89:1234/956923145
上海新闻综合,http://14.153.176.89:1234/651632657
上视东方影视,http://14.153.176.89:1234/617290047
公共新闻频道,http://14.153.176.89:1234/626064693
盐城新闻综合,http://14.153.176.89:1234/639731825
江阴新闻综合,http://14.153.176.89:1234/955227979
南通新闻综合,http://14.153.176.89:1234/955227985
宜兴新闻综合,http://14.153.176.89:1234/955227996
溧水新闻综合,http://14.153.176.89:1234/639737327
陕西银龄频道,http://14.153.176.89:1234/956909362
陕西都市青春频道,http://14.153.176.89:1234/956909358
陕西秦腔频道,http://14.153.176.89:1234/956909303
陕西新闻资讯频道,http://14.153.176.89:1234/956909289
财富天下,http://14.153.176.89:1234/956923159
辽宁公共频道,http://14.153.176.89:1234/962045223
辽宁生活频道,http://14.153.176.89:1234/962045226
辽宁影视剧频道,http://14.153.176.89:1234/962067517
宁夏文旅频道,http://14.153.176.89:1234/962067523
宁夏经济频道,http://14.153.176.89:1234/962067520
经典香港电影,http://14.153.176.89:1234/625703337
抗战经典影片,http://14.153.176.89:1234/617432318
新片放映厅,http://14.153.176.89:1234/619495952
CHC影迷电影,http://14.153.176.89:1234/952383261
CHC动作电影,http://14.153.176.89:1234/644368714
CHC家庭影院,http://14.153.176.89:1234/644368373
和美乡途轮播台,http://14.153.176.89:1234/713591450
最强综艺趴,http://14.153.176.89:1234/629942228
体育0518,#genre#
意甲 亚特兰大VS博洛尼亚 全场回放（石庆圣） 23:45,http://14.153.176.89:1234/964845159
英超 纽卡斯尔联VS西汉姆联 全场回放（吴桐） 00:15,http://14.153.176.89:1234/964845613
英超 纽卡斯尔联VS西汉姆联 全场回放（叶紫辰、何辉） 00:15,http://14.153.176.89:1234/964845815
西甲 塞维利亚VS皇家马德里 全场回放（刘畅、孙雷） 00:45,http://14.153.176.89:1234/964845677
西甲 奥萨苏纳VS西班牙人 全场回放（周楚雄） 00:45,http://14.153.176.89:1234/964845802
西甲 皇家社会VS瓦伦西亚 全场回放（洪宇青） 00:45,http://14.153.176.89:1234/964845723
西甲 巴列卡诺VS比利亚雷亚尔 全场回放（李霄） 00:45,http://14.153.176.89:1234/964845650
西甲 马德里竞技VS吉罗纳 全场回放（涂远、鲁靖明） 00:45,http://14.153.176.89:1234/964846099
